#METADATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Channel identifier,"Info_Respondent_Base","Info_Respondent_Age","Info_Interval_Type","Info_Interval_Group","Info_Interval_Label","Info_Interval_Duration","Info_Interval_ParentLabel","Info_Interval_ParentDuration","Info_AOI_Duration%","Info_AOI_ValidData","Info_AOI_SizePx2","Info_AOI_SizeCm2","Info_AOI_Size%","AOI_GazeMetrics_RespondentCountGazeDwells","AOI_GazeMetrics_RespondentRatioGazeDwells","AOI_GazeMetrics_DwellCount","AOI_GazeMetrics_RevisitCountGazeDwells","AOI_GazeMetrics_HitSequence","AOI_GazeMetrics_HitTimeAoi","AOI_GazeMetrics_HitTimeParent","AOI_GazeMetrics_DwellTimeGazeMs","AOI_GazeMetrics_DwellTimeGaze%","AOI_GazeMetrics_FirstDwellDuration","AOI_GazeMetrics_LastDwellDuration","AOI_GazeMetrics_SkipCount","AOI_FixationMetrics_RespondentCountFixationDwells","AOI_FixationMetrics_RespondentRatioFixationDwells","AOI_FixationMetrics_DwellsFixations","AOI_FixationMetrics_RevisitCountFixationDwells","AOI_FixationMetrics_FixationCount","AOI_FixationMetrics_TtffSequence","AOI_FixationMetrics_TtffAoi","AOI_FixationMetrics_TtffParent","AOI_FixationMetrics_TtffMax","AOI_FixationMetrics_DwellTimeFixationMs","AOI_FixationMetrics_DwellTimeFixation%","AOI_FixationMetrics_DurationFixation","AOI_FixationMetrics_FirstFixationDuration","AOI_FixationMetrics_LastFixationDuration","AOI_FixationMetrics_DispersionFixation","AOI_SaccadeMetrics_RespondentCountSaccades","AOI_SaccadeMetrics_RespondentRatioSaccades","AOI_SaccadeMetrics_DwellsSaccades","AOI_SaccadeMetrics_SaccadeCount","AOI_SaccadeMetrics_EntrySaccadeOnsetAoi","AOI_SaccadeMetrics_EntrySaccadeOnsetParent","AOI_SaccadeMetrics_DurationSaccade","AOI_SaccadeMetrics_AmplitudeSaccade","AOI_SaccadeMetrics_PeakVelocitySaccade","AOI_SaccadeMetrics_PeakAccelerationSaccade","AOI_SaccadeMetrics_PeakDecelerationSaccade","AOI_SaccadeMetrics_DirectionSaccade","AOI_MouseMetrics_RespondentCountMouseClicks","AOI_MouseMetrics_RespondentRatioMouseClicks","AOI_MouseMetrics_MouseClickCount"
#Group,Respondent Info,Respondent Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,AOI Info,AOI Info,AOI Info,AOI Info,AOI Info,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Mouse based metrics,Mouse based metrics,Mouse based metrics
#Display name,Respondent base,Respondent Age,Type,Group,Label,AOI duration (ms),Parent Label,Stimulus duration,AOI duration (%),Valid data,Size (px2),Size (cm2),Size (%),Respondent count,Respondent ratio (%),Dwell count,Revisit count,Hit sequence,Hit time AOI (ms),Hit time parent (ms),Dwell time (ms),Dwell time (%),First dwell duration (ms),Last dwell duration (ms),Skip count,Respondent count,Respondent ratio (%),Dwells with fixations,Revisit count,Fixation count,TTFF sequence,TTFF AOI (ms),TTFF parent (ms),TTFF max. (ms),Dwell time (ms),Dwell time (%),Fixation duration (ms),First fixation duration (ms),Last fixation duration (ms),Dispersion (deg),Respondent count,Respondent ratio (%),Dwells with saccades,Saccade count,Entry saccade onset AOI (ms),Entry saccade onset parent (ms),Saccade duration (ms),Amplitude (deg),Peak velocity (deg/s),Peak acceleration (deg/s2),Peak deceleration (deg/s2),Direction (deg),Respondent count,Respondent ratio (%),Mouse click count
#Unit,,,,,,Milliseconds,,Milliseconds,Percentage,Percentage,Square pixels,Square centimeters,Percentage,,Percentage,,,Index,Milliseconds,Milliseconds,Milliseconds,Percentage,Milliseconds,Milliseconds,,,Percentage,,,,Index,Milliseconds,Milliseconds,Milliseconds,Milliseconds,Percentage,Milliseconds,Milliseconds,Milliseconds,Degrees,,Percentage,,,Milliseconds,Milliseconds,Milliseconds,Degrees,Degrees per second,Degrees per second squared,Degrees per second squared,Degrees,,Percentage,
#Short unit,,,,,,ms,,ms,%,%,px^2,cm^2,%,,%,,,,ms,ms,ms,%,ms,ms,,,%,,,,,ms,ms,ms,ms,%,ms,ms,ms,deg,,%,,,ms,ms,ms,deg,deg/s,deg/s^2,deg/s^2,deg,,%,
#Description,"Number of respondents that were presented with the stimulus or relevant interval.","Average age of the respondents.","Type of the interval that the metrics refers to.","Group of the interval.","Name of the interval.","Average duration of the interval.","Name of the parent.","Average duration of the parent.","Average percentage of the parent's duration during which the AOI was active.","Average percentage of collected and interpolated samples during the interval. Values below 100% indicate missing data.","Size of the AOI in square pixels.","Size of the AOI in square centimeters.","Percentage of the stimulus' area covered by the AOI.","Number of respondents that gazed at the AOI.","Percentage of respondents that gazed at the AOI.","Average of how often the gaze of the respondents entered the AOI (i.e. how often they visited the AOI on average).","Average of how often the respondents looked back at the AOI after the first dwell.","Index of the order in which the AOIs were on average gazed at for the first time for the current parent.","Average time that passed until a gaze entered the AOI for the first time (relative to AOI onset).","Average time that passed until a gaze entered the AOI for the first time (relative to parent interval onset).","Average of how long the respondents gazed at the AOI.","Average of how long the respondents gazed at the AOI in relation to the time during which the AOI was active.","Average duration of the respondents' very first dwell on the AOI.","Average duration of the respondents' very last dwell on the AOI.","Average of how often the respondent gazed at the AOI without any detected fixation.","Number of respondents that fixated on the AOI.","Percentage of respondents that fixated on the AOI.","Average of how often the respondents looked at the AOI and fixated on it at least once.","Average of how often the respondents looked back and fixated at the AOI after the first dwell.","Average amount of fixations detected inside the AOI.","Index of the order in which the AOIs were on average fixated at for the first time for the current parent.","Average time that passed until the first fixation was detected inside the AOI (relative to AOI onset).","Average time that passed until the first fixation was detected inside the AOI (relative to parent interval onset).","Average time that passed until the first fixation was detected inside the AOI (relative to parent interval onset). In case respondents did not fixate on the AOI, their parent's presentation duration (as maximally possible time) is used for the average.","Average of how long the respondents fixated at the AOI.","Average of how long the respondents fixated at the AOI in relation to the time during which the AOI was active.","Average duration of all fixations detected inside the AOI.","Average duration of the respondents' very first fixation inside the AOI.","Average duration of the respondents' very last fixation inside the AOI.","Average of how wide the gaze points of the respondents' fixations were spread out.","Number of respondents that had a saccade within the AOI.","Percentage of respondents that had a saccade within the AOI.","Average of how often the respondents looked at the AOI with at least one whole saccade detected between entry and exit.","Average amount of saccades detected inside the AOI.","Average time that passed until the first saccade was directed towards the AOI (relative to AOI onset).","Average time that passed until the first saccade was directed towards the AOI (relative to parent interval onset).","Average duration of all saccades detected inside the AOI.","Average amplitude of all saccades detected inside the AOI (i.e. angular distance that the eyes travelled from start point to end point).","Average peak velocity of all saccades detected inside the AOI (i.e. the maximal speed of the eyes during this saccade).","Average peak acceleration of all saccades detected inside the AOI (i.e. the maximal increase in speed of the eyes during this saccade).","Average peak deceleration of all saccades detected inside the AOI (i.e. the maximal decrease in speed of the eyes during this saccade).","Average direction of all saccades detected inside the AOI, indicated as clockwise angles: 0 degrees mean a horizontal saccade from left to right, 90 degrees a vertical saccade from top to bottom.","Number of respondents that clicked inside the AOI.","Percentage of respondents that clicked inside the AOI.","Average amount of mouse clicks detected inside the AOI."
#DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Study Name","Respondent Base","Respondent Age","Type","Group","Label","Duration (ms)","Parent Label","Parent Duration","Duration (%)","Valid data","Size (px2)","Size (cm2)","Size (%)","Respondent count (gaze dwells)","Respondent ratio (gaze dwells)","Dwell count","Revisit count (gaze dwells)","Hit sequence","Hit time (AOI)","Hit time (Parent)","Dwell time (gaze, ms)","Dwell time (gaze, %)","First dwell duration","Last dwell duration","Skip count","Respondent count (fixation dwells)","Respondent ratio (fixation dwells)","Dwells with fixations","Revisit count (fixation dwells)","Fixation count","TTFF sequence","TTFF (AOI)","TTFF (Parent)","TTFF (max.)","Dwell time (fixation, ms)","Dwell time (fixation, %)","Duration of average fixation","First fixation duration","Last fixation duration","Dispersion of average fixation","Respondent count (saccades)","Respondent ratio (saccades)","Dwells with saccades","Saccade count","Entry saccade onset (AOI)","Entry saccade onset (Parent)","Duration of average saccade","Amplitude of average saccade","Peak velocity of average saccade","Peak acceleration of average saccade","Peak deceleration of average saccade","Direction of average saccade","Respondent count (mouse clicks)","Respondent ratio (mouse clicks)","Mouse click count"
"Pilot","16","0","Stimulus","","Website 1》divergent","676698.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pilot","11","0","Dynamic AOI","NA","verbal1","308000.91","Website 1》divergent","692742.18","34.75","80.94","NA","NA","NA","7","63.64","6.43","5.43","3","11953.53","286668","2196.8","0.68","188.57","168","0.14","7","63.64","5.86","4.86","6.29","3","11923.67","286638.14","502553.25","4641.5","1.32","424.84","270.57","487.86","0.68","2","18.18","1.5","1.5","9886.6","416495.25","76.5","1.96","33.95","696.61","-26.76","2.14","0","0","0"
"Pilot","11","0","Dynamic AOI","NA","verbal2","307974.94","Website 1》divergent","692742.18","34.75","80.94","NA","NA","NA","5","45.45","5.8","4.8","8","24604.8","335852.6","2076.92","0.67","217.4","183.2","0","5","45.45","5.2","4.2","5.6","8","24320.52","335568.32","578552.88","3388.08","1.51","851.04","857.38","714.3","1.6","1","9.09","2","2","NA","NA","50.75","1.62","45.8","959.07","NA","189.02","0","0","0"
"Pilot","11","0","Dynamic AOI","NA","verbal3","308019.05","Website 1》divergent","692742.18","34.75","80.94","NA","NA","NA","4","36.36","6","5","6","18067.2","313060.25","2239.9","0.79","270.75","238.25","0","4","36.36","5.5","4.5","6","6","17642.08","312635.13","592878.14","3907.62","1.6","784.21","1067.75","617.25","0.87","2","18.18","1","1","38860.32","295123","66.25","2.49","41.63","1035.14","NA","177.58","0","0","0"
"Pilot","11","0","Dynamic AOI","NA","verbal4","307946.43","Website 1》divergent","692742.18","34.74","80.93","NA","NA","NA","4","36.36","2.25","1.25","13","66492.83","471335","530.58","0.15","127.25","194.25","0.25","3","27.27","2.33","1.33","2.33","13","68156.22","419217.5","608842.76","1706","0.6","611.6","894","782","0.99","0","0","NA","NA","89279.9","477585","NA","NA","NA","NA","NA","NA","0","0","0"
"Pilot","11","0","Dynamic AOI","NA","verbal5","311067.69","Website 1》divergent","692742.18","35.35","81.18","NA","NA","NA","5","45.45","3.8","2.8","1","9286.5","250405","1550.43","0.63","183","167.4","0","5","45.45","3.6","2.6","4","1","8979.4","250097.9","584365.01","3374.4","1.41","772.4","628.6","820.9","0.86","2","18.18","2","2","13559.26","261852.75","93.33","2.98","44.51","999.53","-313.44","90.32","0","0","0"
"Pilot","11","0","Dynamic AOI","NA","verbal6","311029.03","Website 1》divergent","692742.18","35.35","81.18","NA","NA","NA","1","9.09","2","1","14","109630.87","520815","570.86","0.12","333","103","0","1","9.09","2","1","2","14","109378.87","520563","660434.56","1435.5","0.31","717.75","467","968.5","0.78","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0"
"Pilot","16","0","Dynamic AOI","NA","creative feedback","222380.53","Website 1》divergent","676698.12","27.18","84.5","NA","NA","NA","15","93.75","33.27","32.27","7","6538.39","316857.73","29500.05","22.81","559.4","576.47","2.53","15","93.75","20","19","43.8","7","6738.06","317057.4","415349.31","28484.56","22.32","633.24","357.13","812.37","0.96","15","93.75","10.6","21.93","10714.29","344853.17","123.89","5.03","63.05","1142.87","-884.95","173.22","0","0","0"
"Pilot","11","0","Dynamic AOI","NA","verbal","291141.14","Website 1》divergent","692742.18","34.09","81.96","NA","NA","NA","10","90.91","21.4","20.4","4","1901.89","299425","21455.06","12.43","765.3","395.8","1.2","10","90.91","15","14","37.4","4","1851.86","299374.97","443952.52","18427.25","11.23","550.74","628.38","498.1","1.06","10","90.91","9.2","22.6","4999.29","284537.33","118.54","4.75","63.23","1242.81","-593.67","154.51","0","0","0"
"Pilot","10","0","Dynamic AOI","NA","visual","273516.38","Website 1》divergent","708926.18","29.55","87.74","NA","NA","NA","9","90","14.22","13.22","5","12651.02","299823.67","12852.47","11.06","506.67","401.89","0.44","9","90","11.11","10.11","21.44","5","12619.39","299792.04","458785.63","14726.71","13.01","693.11","455.96","566.5","0.89","8","80","5.25","11","30177.76","316673","108.67","2.89","42","706.05","-420.13","155.12","0","0","0"
"Pilot","10","0","Dynamic AOI","NA","visual1","266491.53","Website 1》divergent","708926.18","28.83","88.56","NA","NA","NA","3","30","9.33","8.33","11","70117.53","381305.33","3580.36","1.22","424.33","195.33","0.33","3","30","7","6","7.33","11","69954.86","381142.67","641790.13","11399","3.97","1021.77","1500.83","641.17","0.85","0","0","NA","NA","23605.54","344040","NA","NA","NA","NA","NA","NA","0","0","0"
"Pilot","10","0","Dynamic AOI","NA","visual2","259788.84","Website 1》divergent","708926.18","27.49","88.02","NA","NA","NA","5","50","2.2","1.2","9","48386.91","345888.6","593.04","1.05","215.2","211","0","5","50","1.8","0.8","1.8","9","48098.11","345599.8","621621.48","2002.7","3.19","1091.45","972.6","1210.3","1.27","0","0","NA","NA","255038.42","620464.5","NA","NA","NA","NA","NA","NA","0","0","0"
"Pilot","10","0","Dynamic AOI","NA","visual3","259722.4","Website 1》divergent","708926.18","27.48","88.01","NA","NA","NA","5","50","1.8","0.8","12","96073.35","404032.4","887.44","3.05","417","350","0","5","50","1.6","0.6","1.6","12","95959.55","403918.6","567562.13","1085.5","2.85","616.3","810.3","560.5","0.58","1","10","2","2","111945.97","414983.5","43.5","NA","14.72","162.31","NA","NA","0","0","0"
"Pilot","10","0","Dynamic AOI","NA","visual4","263011.02","Website 1》divergent","708926.18","28.13","88.27","NA","NA","NA","5","50","3.4","2.4","2","23995.91","285017.4","1118.27","0.57","246.6","174.6","0","5","50","3.2","2.2","3.2","2","23702.91","284724.4","599999.58","3455.2","1.73","892.92","684.2","511.3","1.22","0","0","NA","NA","33144.78","381243.5","NA","NA","NA","NA","NA","NA","0","0","0"
"Pilot","10","0","Dynamic AOI","NA","visual5","266517.25","Website 1》divergent","708926.18","28.83","88.56","NA","NA","NA","7","70","2.14","1.14","10","37021.46","348546.57","768.9","2.25","236.71","255.43","0","7","70","1.86","0.86","2","10","37018.34","348543.45","526879.27","2297.82","4.32","613.9","378.39","849.1","1.24","1","10","1","1","37737.33","380689.33","33","NA","31.69","415.76","NA","NA","0","0","0"
