#METADATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Channel identifier,"Info_Respondent_Base","Info_Respondent_Age","Info_Interval_Type","Info_Interval_Group","Info_Interval_Label","Info_Interval_Duration","Info_Interval_ParentLabel","Info_Interval_ParentDuration","Info_AOI_Duration%","Info_AOI_ValidData","Info_AOI_SizePx2","Info_AOI_SizeCm2","Info_AOI_Size%","AOI_GazeMetrics_RespondentCountGazeDwells","AOI_GazeMetrics_RespondentRatioGazeDwells","AOI_GazeMetrics_DwellCount","AOI_GazeMetrics_RevisitCountGazeDwells","AOI_GazeMetrics_HitSequence","AOI_GazeMetrics_HitTimeAoi","AOI_GazeMetrics_HitTimeParent","AOI_GazeMetrics_DwellTimeGazeMs","AOI_GazeMetrics_DwellTimeGaze%","AOI_GazeMetrics_FirstDwellDuration","AOI_GazeMetrics_LastDwellDuration","AOI_GazeMetrics_SkipCount","AOI_FixationMetrics_RespondentCountFixationDwells","AOI_FixationMetrics_RespondentRatioFixationDwells","AOI_FixationMetrics_DwellsFixations","AOI_FixationMetrics_RevisitCountFixationDwells","AOI_FixationMetrics_FixationCount","AOI_FixationMetrics_TtffSequence","AOI_FixationMetrics_TtffAoi","AOI_FixationMetrics_TtffParent","AOI_FixationMetrics_TtffMax","AOI_FixationMetrics_DwellTimeFixationMs","AOI_FixationMetrics_DwellTimeFixation%","AOI_FixationMetrics_DurationFixation","AOI_FixationMetrics_FirstFixationDuration","AOI_FixationMetrics_LastFixationDuration","AOI_FixationMetrics_DispersionFixation","AOI_SaccadeMetrics_RespondentCountSaccades","AOI_SaccadeMetrics_RespondentRatioSaccades","AOI_SaccadeMetrics_DwellsSaccades","AOI_SaccadeMetrics_SaccadeCount","AOI_SaccadeMetrics_EntrySaccadeOnsetAoi","AOI_SaccadeMetrics_EntrySaccadeOnsetParent","AOI_SaccadeMetrics_DurationSaccade","AOI_SaccadeMetrics_AmplitudeSaccade","AOI_SaccadeMetrics_PeakVelocitySaccade","AOI_SaccadeMetrics_PeakAccelerationSaccade","AOI_SaccadeMetrics_PeakDecelerationSaccade","AOI_SaccadeMetrics_DirectionSaccade","AOI_MouseMetrics_RespondentCountMouseClicks","AOI_MouseMetrics_RespondentRatioMouseClicks","AOI_MouseMetrics_MouseClickCount"
#Group,Respondent Info,Respondent Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,AOI Info,AOI Info,AOI Info,AOI Info,AOI Info,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Mouse based metrics,Mouse based metrics,Mouse based metrics
#Display name,Respondent base,Respondent Age,Type,Group,Label,AOI duration (ms),Parent Label,Stimulus duration,AOI duration (%),Valid data,Size (px2),Size (cm2),Size (%),Respondent count,Respondent ratio (%),Dwell count,Revisit count,Hit sequence,Hit time AOI (ms),Hit time parent (ms),Dwell time (ms),Dwell time (%),First dwell duration (ms),Last dwell duration (ms),Skip count,Respondent count,Respondent ratio (%),Dwells with fixations,Revisit count,Fixation count,TTFF sequence,TTFF AOI (ms),TTFF parent (ms),TTFF max. (ms),Dwell time (ms),Dwell time (%),Fixation duration (ms),First fixation duration (ms),Last fixation duration (ms),Dispersion (deg),Respondent count,Respondent ratio (%),Dwells with saccades,Saccade count,Entry saccade onset AOI (ms),Entry saccade onset parent (ms),Saccade duration (ms),Amplitude (deg),Peak velocity (deg/s),Peak acceleration (deg/s2),Peak deceleration (deg/s2),Direction (deg),Respondent count,Respondent ratio (%),Mouse click count
#Unit,,,,,,Milliseconds,,Milliseconds,Percentage,Percentage,Square pixels,Square centimeters,Percentage,,Percentage,,,Index,Milliseconds,Milliseconds,Milliseconds,Percentage,Milliseconds,Milliseconds,,,Percentage,,,,Index,Milliseconds,Milliseconds,Milliseconds,Milliseconds,Percentage,Milliseconds,Milliseconds,Milliseconds,Degrees,,Percentage,,,Milliseconds,Milliseconds,Milliseconds,Degrees,Degrees per second,Degrees per second squared,Degrees per second squared,Degrees,,Percentage,
#Short unit,,,,,,ms,,ms,%,%,px^2,cm^2,%,,%,,,,ms,ms,ms,%,ms,ms,,,%,,,,,ms,ms,ms,ms,%,ms,ms,ms,deg,,%,,,ms,ms,ms,deg,deg/s,deg/s^2,deg/s^2,deg,,%,
#Description,"Number of respondents that were presented with the stimulus or relevant interval.","Average age of the respondents.","Type of the interval that the metrics refers to.","Group of the interval.","Name of the interval.","Average duration of the interval.","Name of the parent.","Average duration of the parent.","Average percentage of the parent's duration during which the AOI was active.","Average percentage of collected and interpolated samples during the interval. Values below 100% indicate missing data.","Size of the AOI in square pixels.","Size of the AOI in square centimeters.","Percentage of the stimulus' area covered by the AOI.","Number of respondents that gazed at the AOI.","Percentage of respondents that gazed at the AOI.","Average of how often the gaze of the respondents entered the AOI (i.e. how often they visited the AOI on average).","Average of how often the respondents looked back at the AOI after the first dwell.","Index of the order in which the AOIs were on average gazed at for the first time for the current parent.","Average time that passed until a gaze entered the AOI for the first time (relative to AOI onset).","Average time that passed until a gaze entered the AOI for the first time (relative to parent interval onset).","Average of how long the respondents gazed at the AOI.","Average of how long the respondents gazed at the AOI in relation to the time during which the AOI was active.","Average duration of the respondents' very first dwell on the AOI.","Average duration of the respondents' very last dwell on the AOI.","Average of how often the respondent gazed at the AOI without any detected fixation.","Number of respondents that fixated on the AOI.","Percentage of respondents that fixated on the AOI.","Average of how often the respondents looked at the AOI and fixated on it at least once.","Average of how often the respondents looked back and fixated at the AOI after the first dwell.","Average amount of fixations detected inside the AOI.","Index of the order in which the AOIs were on average fixated at for the first time for the current parent.","Average time that passed until the first fixation was detected inside the AOI (relative to AOI onset).","Average time that passed until the first fixation was detected inside the AOI (relative to parent interval onset).","Average time that passed until the first fixation was detected inside the AOI (relative to parent interval onset). In case respondents did not fixate on the AOI, their parent's presentation duration (as maximally possible time) is used for the average.","Average of how long the respondents fixated at the AOI.","Average of how long the respondents fixated at the AOI in relation to the time during which the AOI was active.","Average duration of all fixations detected inside the AOI.","Average duration of the respondents' very first fixation inside the AOI.","Average duration of the respondents' very last fixation inside the AOI.","Average of how wide the gaze points of the respondents' fixations were spread out.","Number of respondents that had a saccade within the AOI.","Percentage of respondents that had a saccade within the AOI.","Average of how often the respondents looked at the AOI with at least one whole saccade detected between entry and exit.","Average amount of saccades detected inside the AOI.","Average time that passed until the first saccade was directed towards the AOI (relative to AOI onset).","Average time that passed until the first saccade was directed towards the AOI (relative to parent interval onset).","Average duration of all saccades detected inside the AOI.","Average amplitude of all saccades detected inside the AOI (i.e. angular distance that the eyes travelled from start point to end point).","Average peak velocity of all saccades detected inside the AOI (i.e. the maximal speed of the eyes during this saccade).","Average peak acceleration of all saccades detected inside the AOI (i.e. the maximal increase in speed of the eyes during this saccade).","Average peak deceleration of all saccades detected inside the AOI (i.e. the maximal decrease in speed of the eyes during this saccade).","Average direction of all saccades detected inside the AOI, indicated as clockwise angles: 0 degrees mean a horizontal saccade from left to right, 90 degrees a vertical saccade from top to bottom.","Number of respondents that clicked inside the AOI.","Percentage of respondents that clicked inside the AOI.","Average amount of mouse clicks detected inside the AOI."
#DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Study Name","Respondent Base","Respondent Age","Type","Group","Label","Duration (ms)","Parent Label","Parent Duration","Duration (%)","Valid data","Size (px2)","Size (cm2)","Size (%)","Respondent count (gaze dwells)","Respondent ratio (gaze dwells)","Dwell count","Revisit count (gaze dwells)","Hit sequence","Hit time (AOI)","Hit time (Parent)","Dwell time (gaze, ms)","Dwell time (gaze, %)","First dwell duration","Last dwell duration","Skip count","Respondent count (fixation dwells)","Respondent ratio (fixation dwells)","Dwells with fixations","Revisit count (fixation dwells)","Fixation count","TTFF sequence","TTFF (AOI)","TTFF (Parent)","TTFF (max.)","Dwell time (fixation, ms)","Dwell time (fixation, %)","Duration of average fixation","First fixation duration","Last fixation duration","Dispersion of average fixation","Respondent count (saccades)","Respondent ratio (saccades)","Dwells with saccades","Saccade count","Entry saccade onset (AOI)","Entry saccade onset (Parent)","Duration of average saccade","Amplitude of average saccade","Peak velocity of average saccade","Peak acceleration of average saccade","Peak deceleration of average saccade","Direction of average saccade","Respondent count (mouse clicks)","Respondent ratio (mouse clicks)","Mouse click count"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","6","0","Stimulus","","Website 2","439177.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","6","0","Dynamic AOI","NA","visual","31856.71","Website 2","439177.2","6.63","89.82","NA","NA","NA","6","100","5.33","4.33","2","2727.8","242978.67","6781.22","25.91","2056.17","1004.67","0.17","6","100","4","3","7.83","2","2594.6","242845.47","242845.47","7004.02","31.421","1807.64","1724.95","1996.66","1.505","3","50","5","8","4473.37","245921.25","229.1","2.21","29.06","445.96","-255.78","227.25","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","6","0","Dynamic AOI","NA","creative feedback","80100.27","Website 2","439177.2","18.81","87.9","NA","NA","NA","6","100","27.83","26.83","4","4338.07","249699.5","39451.27","49.04","2238.17","4810.5","0.67","6","100","13.17","12.17","41","4","4194.51","249555.93","249555.93","40825.23","48.376","1103.22","361.65","1150.63","1.337","6","100","9.83","23.17","3307.87","132671.5","143.14","8.12","104.23","5581.8","-6124.66","163.2","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","6","0","Dynamic AOI","NA","visual1","31523.36","Website 2","439177.2","6.54","89.29","NA","NA","NA","5","83.33","3.6","2.6","3","1877.92","243574","1707.89","7.4","532.2","294.2","0.2","5","83.33","2.2","1.2","2.2","3","1838.13","243534.21","299457.36","4875.79","27.751","2323.18","2230.29","2698.3","1.398","0","0","NA","NA","3216.57","241049.5","NA","NA","NA","NA","NA","NA","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","6","0","Dynamic AOI","NA","visual2","26625.3","Website 2","439177.2","5.52","89.64","NA","NA","NA","1","16.67","1","0","7","39282.4","366175","497.1","0.44","256","256","0","1","16.67","1","0","1","7","39250.4","366143","394539.82","256","0.224","256","256","256","0.087","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","6","0","Dynamic AOI","NA","visual3","26459.5","Website 2","439177.2","5.51","89.68","NA","NA","NA","3","50","1","0","6","4519.9","322556","216.78","1.66","131.33","131.33","0","3","50","1","0","1","6","1919.22","319955.32","333114.51","3889.18","51.285","3889.18","3889.18","3889.18","1.55","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","6","0","Dynamic AOI","NA","visual4","30760.24","Website 2","439177.2","6.39","90.07","NA","NA","NA","3","50","2","1","1","5640.14","234243.33","948.56","2.07","260.67","340.67","0.33","2","33.33","2.5","1.5","2.5","1","4578.33","223209","370865.87","2868","4.439","1366","1008","1804","0.983","1","16.67","1","1","NA","NA","128","1.81","22.29","280.75","-162.97","176.14","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","6","0","Dynamic AOI","NA","visual5","30753.4","Website 2","439177.2","6.4","89.79","NA","NA","NA","2","33.33","1","0","5","16662.96","297335.5","371.37","1.35","208","208","0","2","33.33","1","0","1","5","16670.71","297343.25","336118.22","896.25","2.856","896.25","896.25","896.25","1.788","0","0","NA","NA","7803.02","242255.5","NA","NA","NA","NA","NA","NA","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","4","0","Stimulus","","Website 5","309519.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","4","0","Dynamic AOI","NA","verbal","66484.85","Website 5","309519.53","20.04","82.51","NA","NA","NA","4","100","5.25","4.25","4","2007.92","161962.5","9086.51","43.28","1153.25","2781","0","4","100","4.5","3.5","27.75","3","2059.16","162013.74","162013.74","5495.36","25.342","210.8","161.64","158.6","0.362","4","100","3.75","23.75","2014.23","146789.5","104.62","5.15","70.29","1459.4","-1044.65","192.43","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","3","0","Dynamic AOI","NA","verbal1","108494.68","Website 5","336194.43","32.76","77.78","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","336194.43","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","3","0","Dynamic AOI","NA","verbal2","108494.68","Website 5","336194.43","32.76","77.78","NA","NA","NA","1","33.33","1","0","3","6039.13","161937","239.4","1.99","166","166","1","0","0","NA","NA","NA","NA","NA","NA","336194.43","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","3","0","Dynamic AOI","NA","verbal3","108494.68","Website 5","336194.43","32.76","77.78","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","336194.43","NA","NA","NA","NA","NA","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","3","0","Dynamic AOI","NA","verbal4","108494.68","Website 5","336194.43","32.76","77.78","NA","NA","NA","1","33.33","2","1","2","1106.13","157004","518.7","4.32","102","266","0","1","33.33","2","1","3","2","1057.63","156955.5","280269.77","300.5","2.502","100.17","133.5","100","0.063","1","33.33","1","1","NA","NA","99.5","2.98","44.7","1050.17","-114.18","2.56","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","3","0","Dynamic AOI","NA","verbal5","108494.68","Website 5","336194.43","32.76","77.78","NA","NA","NA","1","33.33","2","1","6","223359.2","316060","300.69","0.13","112","241","0","1","33.33","2","1","2","5","223383.2","316084","334546.47","304","0.133","152","136","168","0.383","1","33.33","1","1","223279.2","315980","80.5","1.54","24.74","215.12","NA","0","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","3","0","Dynamic AOI","NA","verbal6","108494.68","Website 5","336194.43","32.76","77.78","NA","NA","NA","1","33.33","1","0","5","198607.2","291308","300.69","0.13","271","271","0","1","33.33","1","0","2","4","198623.2","291324","326293.13","175","0.077","87.5","63","112","0.011","1","33.33","1","1","198526.7","291227.5","96.5","2.49","38.54","673.1","-534.8","0","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","4","0","Dynamic AOI","NA","creative feedback","100136.01","Website 5","309519.53","32.18","75.58","NA","NA","NA","4","100","36.5","35.5","1","2508.88","145161.25","48323.08","50.17","2834","423","1.75","4","100","20.25","19.25","70.75","1","3241.65","145894.02","145894.02","31256.35","33.107","535.04","147.48","158.88","0.591","4","100","16.25","50.5","4270.4","117712","143.28","4.94","68.98","1436.45","-1253.76","159.36","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","8","0","Stimulus","","Website 8","1081508.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","8","0","Dynamic AOI","NA","verbal2","52986.21","Website 8","1081508.84","3.65","94.91","NA","NA","NA","3","37.5","1.33","0.33","10","55026.95","607930","338.39","0.63","225.33","129.33","0","3","37.5","1.33","0.33","1.33","10","54733.12","607636.17","750060.11","786","0.973","548.67","476.67","620.67","0.688","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","8","0","Dynamic AOI","NA","verbal3","81096.01","Website 8","1081508.84","5.28","93.88","NA","NA","NA","2","25","1.5","0.5","1","7887.27","213951","373.74","4.42","183.5","199.5","0","2","25","1.5","0.5","1.5","1","7553.02","213616.75","983478.16","1266.25","10.517","1074.88","1100","1049.75","2.087","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","8","0","Dynamic AOI","NA","verbal4","80806.46","Website 8","1081508.84","5.26","93.89","NA","NA","NA","1","12.5","3","2","13","9275.69","1090384","961.53","0.41","128","176","0","1","12.5","3","2","3","13","9051.69","1090160","958276.6","1720","0.73","573.33","376","1008","0.432","1","12.5","1","1","228827.69","1309936","72","1.45","23.12","672.35","NA","0","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","8","0","Dynamic AOI","NA","verbal5","80943.65","Website 8","1081508.84","5.27","93.87","NA","NA","NA","2","25","1","0","6","11902.9","403541.5","195.59","1.02","142","142","0.5","1","12.5","1","0","1","4","1959.16","336105","1012106.71","174.5","1.333","174.5","174.5","174.5","0.533","0","0","NA","NA","1893.66","336039.5","NA","NA","NA","NA","NA","NA","0","0","0"
