#METADATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Channel identifier,"Info_Respondent_Base","Info_Respondent_Age","Info_Interval_Type","Info_Interval_Group","Info_Interval_Label","Info_Interval_Duration","Info_Interval_ParentLabel","Info_Interval_ParentDuration","Info_AOI_Duration%","Info_AOI_ValidData","Info_AOI_SizePx2","Info_AOI_SizeCm2","Info_AOI_Size%","AOI_GazeMetrics_RespondentCountGazeDwells","AOI_GazeMetrics_RespondentRatioGazeDwells","AOI_GazeMetrics_DwellCount","AOI_GazeMetrics_RevisitCountGazeDwells","AOI_GazeMetrics_HitSequence","AOI_GazeMetrics_HitTimeAoi","AOI_GazeMetrics_HitTimeParent","AOI_GazeMetrics_DwellTimeGazeMs","AOI_GazeMetrics_DwellTimeGaze%","AOI_GazeMetrics_FirstDwellDuration","AOI_GazeMetrics_LastDwellDuration","AOI_GazeMetrics_SkipCount","AOI_FixationMetrics_RespondentCountFixationDwells","AOI_FixationMetrics_RespondentRatioFixationDwells","AOI_FixationMetrics_DwellsFixations","AOI_FixationMetrics_RevisitCountFixationDwells","AOI_FixationMetrics_FixationCount","AOI_FixationMetrics_TtffSequence","AOI_FixationMetrics_TtffAoi","AOI_FixationMetrics_TtffParent","AOI_FixationMetrics_TtffMax","AOI_FixationMetrics_DwellTimeFixationMs","AOI_FixationMetrics_DwellTimeFixation%","AOI_FixationMetrics_DurationFixation","AOI_FixationMetrics_FirstFixationDuration","AOI_FixationMetrics_LastFixationDuration","AOI_FixationMetrics_DispersionFixation","AOI_SaccadeMetrics_RespondentCountSaccades","AOI_SaccadeMetrics_RespondentRatioSaccades","AOI_SaccadeMetrics_DwellsSaccades","AOI_SaccadeMetrics_SaccadeCount","AOI_SaccadeMetrics_EntrySaccadeOnsetAoi","AOI_SaccadeMetrics_EntrySaccadeOnsetParent","AOI_SaccadeMetrics_DurationSaccade","AOI_SaccadeMetrics_AmplitudeSaccade","AOI_SaccadeMetrics_PeakVelocitySaccade","AOI_SaccadeMetrics_PeakAccelerationSaccade","AOI_SaccadeMetrics_PeakDecelerationSaccade","AOI_SaccadeMetrics_DirectionSaccade","AOI_MouseMetrics_RespondentCountMouseClicks","AOI_MouseMetrics_RespondentRatioMouseClicks","AOI_MouseMetrics_MouseClickCount"
#Group,Respondent Info,Respondent Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,Interval Info,AOI Info,AOI Info,AOI Info,AOI Info,AOI Info,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Gaze based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Fixation based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Saccade based metrics,Mouse based metrics,Mouse based metrics,Mouse based metrics
#Display name,Respondent base,Respondent Age,Type,Group,Label,AOI duration (ms),Parent Label,Stimulus duration,AOI duration (%),Valid data,Size (px2),Size (cm2),Size (%),Respondent count,Respondent ratio (%),Dwell count,Revisit count,Hit sequence,Hit time AOI (ms),Hit time parent (ms),Dwell time (ms),Dwell time (%),First dwell duration (ms),Last dwell duration (ms),Skip count,Respondent count,Respondent ratio (%),Dwells with fixations,Revisit count,Fixation count,TTFF sequence,TTFF AOI (ms),TTFF parent (ms),TTFF max. (ms),Dwell time (ms),Dwell time (%),Fixation duration (ms),First fixation duration (ms),Last fixation duration (ms),Dispersion (deg),Respondent count,Respondent ratio (%),Dwells with saccades,Saccade count,Entry saccade onset AOI (ms),Entry saccade onset parent (ms),Saccade duration (ms),Amplitude (deg),Peak velocity (deg/s),Peak acceleration (deg/s2),Peak deceleration (deg/s2),Direction (deg),Respondent count,Respondent ratio (%),Mouse click count
#Unit,,,,,,Milliseconds,,Milliseconds,Percentage,Percentage,Square pixels,Square centimeters,Percentage,,Percentage,,,Index,Milliseconds,Milliseconds,Milliseconds,Percentage,Milliseconds,Milliseconds,,,Percentage,,,,Index,Milliseconds,Milliseconds,Milliseconds,Milliseconds,Percentage,Milliseconds,Milliseconds,Milliseconds,Degrees,,Percentage,,,Milliseconds,Milliseconds,Milliseconds,Degrees,Degrees per second,Degrees per second squared,Degrees per second squared,Degrees,,Percentage,
#Short unit,,,,,,ms,,ms,%,%,px^2,cm^2,%,,%,,,,ms,ms,ms,%,ms,ms,,,%,,,,,ms,ms,ms,ms,%,ms,ms,ms,deg,,%,,,ms,ms,ms,deg,deg/s,deg/s^2,deg/s^2,deg,,%,
#Description,"Number of respondents that were presented with the stimulus or relevant interval.","Average age of the respondents.","Type of the interval that the metrics refers to.","Group of the interval.","Name of the interval.","Average duration of the interval.","Name of the parent.","Average duration of the parent.","Average percentage of the parent's duration during which the AOI was active.","Average percentage of collected and interpolated samples during the interval. Values below 100% indicate missing data.","Size of the AOI in square pixels.","Size of the AOI in square centimeters.","Percentage of the stimulus' area covered by the AOI.","Number of respondents that gazed at the AOI.","Percentage of respondents that gazed at the AOI.","Average of how often the gaze of the respondents entered the AOI (i.e. how often they visited the AOI on average).","Average of how often the respondents looked back at the AOI after the first dwell.","Index of the order in which the AOIs were on average gazed at for the first time for the current parent.","Average time that passed until a gaze entered the AOI for the first time (relative to AOI onset).","Average time that passed until a gaze entered the AOI for the first time (relative to parent interval onset).","Average of how long the respondents gazed at the AOI.","Average of how long the respondents gazed at the AOI in relation to the time during which the AOI was active.","Average duration of the respondents' very first dwell on the AOI.","Average duration of the respondents' very last dwell on the AOI.","Average of how often the respondent gazed at the AOI without any detected fixation.","Number of respondents that fixated on the AOI.","Percentage of respondents that fixated on the AOI.","Average of how often the respondents looked at the AOI and fixated on it at least once.","Average of how often the respondents looked back and fixated at the AOI after the first dwell.","Average amount of fixations detected inside the AOI.","Index of the order in which the AOIs were on average fixated at for the first time for the current parent.","Average time that passed until the first fixation was detected inside the AOI (relative to AOI onset).","Average time that passed until the first fixation was detected inside the AOI (relative to parent interval onset).","Average time that passed until the first fixation was detected inside the AOI (relative to parent interval onset). In case respondents did not fixate on the AOI, their parent's presentation duration (as maximally possible time) is used for the average.","Average of how long the respondents fixated at the AOI.","Average of how long the respondents fixated at the AOI in relation to the time during which the AOI was active.","Average duration of all fixations detected inside the AOI.","Average duration of the respondents' very first fixation inside the AOI.","Average duration of the respondents' very last fixation inside the AOI.","Average of how wide the gaze points of the respondents' fixations were spread out.","Number of respondents that had a saccade within the AOI.","Percentage of respondents that had a saccade within the AOI.","Average of how often the respondents looked at the AOI with at least one whole saccade detected between entry and exit.","Average amount of saccades detected inside the AOI.","Average time that passed until the first saccade was directed towards the AOI (relative to AOI onset).","Average time that passed until the first saccade was directed towards the AOI (relative to parent interval onset).","Average duration of all saccades detected inside the AOI.","Average amplitude of all saccades detected inside the AOI (i.e. angular distance that the eyes travelled from start point to end point).","Average peak velocity of all saccades detected inside the AOI (i.e. the maximal speed of the eyes during this saccade).","Average peak acceleration of all saccades detected inside the AOI (i.e. the maximal increase in speed of the eyes during this saccade).","Average peak deceleration of all saccades detected inside the AOI (i.e. the maximal decrease in speed of the eyes during this saccade).","Average direction of all saccades detected inside the AOI, indicated as clockwise angles: 0 degrees mean a horizontal saccade from left to right, 90 degrees a vertical saccade from top to bottom.","Number of respondents that clicked inside the AOI.","Percentage of respondents that clicked inside the AOI.","Average amount of mouse clicks detected inside the AOI."
#DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Study Name","Respondent Base","Respondent Age","Type","Group","Label","Duration (ms)","Parent Label","Parent Duration","Duration (%)","Valid data","Size (px2)","Size (cm2)","Size (%)","Respondent count (gaze dwells)","Respondent ratio (gaze dwells)","Dwell count","Revisit count (gaze dwells)","Hit sequence","Hit time (AOI)","Hit time (Parent)","Dwell time (gaze, ms)","Dwell time (gaze, %)","First dwell duration","Last dwell duration","Skip count","Respondent count (fixation dwells)","Respondent ratio (fixation dwells)","Dwells with fixations","Revisit count (fixation dwells)","Fixation count","TTFF sequence","TTFF (AOI)","TTFF (Parent)","TTFF (max.)","Dwell time (fixation, ms)","Dwell time (fixation, %)","Duration of average fixation","First fixation duration","Last fixation duration","Dispersion of average fixation","Respondent count (saccades)","Respondent ratio (saccades)","Dwells with saccades","Saccade count","Entry saccade onset (AOI)","Entry saccade onset (Parent)","Duration of average saccade","Amplitude of average saccade","Peak velocity of average saccade","Peak acceleration of average saccade","Peak deceleration of average saccade","Direction of average saccade","Respondent count (mouse clicks)","Respondent ratio (mouse clicks)","Mouse click count"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","6","0","Stimulus","","Website 2","439177.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","6","0","Dynamic AOI","NA","visual","51739.42","Website 2","439177.2","9.66","90.19","NA","NA","NA","6","100","9.33","8.33","1","2727.8","242978.67","13748.61","26.88","1719","612.67","0.83","6","100","6.83","5.83","13.67","1","2594.6","242845.47","242845.47","14276.05","32.88","1499.46","1418.63","1173.68","1.73","3","50","9.33","14","4473.37","245921.25","238.25","2.19","28.73","442.92","-257.52","220.71","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","6","0","Dynamic AOI","NA","creative feedback","110402.53","Website 2","439177.2","25.48","86.92","NA","NA","NA","6","100","34.5","33.5","2","4338.07","249699.5","46220.68","45.63","2246.17","581.33","1.67","6","100","17.83","16.83","50.83","2","4194.51","249555.93","249555.93","44222.02","44.51","1019.84","361.65","363.75","1.33","6","100","13","28.33","3307.87","132671.5","145.29","8.19","100.81","5527.52","-6041.66","166.35","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","4","0","Stimulus","","Website 5","309519.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","4","0","Dynamic AOI","NA","verbal","65841.57","Website 5","309519.53","19.85","82.51","NA","NA","NA","4","100","5.25","4.25","2","2007.92","161962.5","8832.59","46.48","1153.25","2665","0","4","100","4.5","3.5","27.25","2","2059.16","162013.74","162013.74","5444.99","27.54","211.63","161.64","174.98","0.36","4","100","3.75","23.5","2014.23","146789.5","104.87","5.17","70.51","1466.12","-1051.33","193.78","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","4","0","Dynamic AOI","NA","creative feedback","100136.01","Website 5","309519.53","32.18","75.58","NA","NA","NA","4","100","36.5","35.5","1","2508.88","145161.25","48323.08","50.17","2834","423","1.75","4","100","20.25","19.25","70.75","1","3241.65","145894.02","145894.02","31256.35","33.11","535.04","147.48","158.88","0.59","4","100","16.25","50.5","4270.4","117712","143.28","4.94","68.98","1436.45","-1253.76","159.36","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","8","0","Stimulus","","Website 8","1081508.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","8","0","Dynamic AOI","NA","visual","120250.71","Website 8","1081508.84","9.09","94.6","NA","NA","NA","7","87.5","25.14","24.14","2","6008.79","401286.71","22235.67","18.18","554.86","403.86","1.14","7","87.5","17.86","16.86","35","2","5926.62","401204.54","448742.01","20418.85","18.57","582.33","435.32","288.79","1.06","6","75","10.5","18.83","7002.79","259568.13","94.36","3.02","59.53","1158.98","-642.88","181.6","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","8","0","Dynamic AOI","NA","verbal","121109.91","Website 8","1081508.84","9.2","94.8","NA","NA","NA","8","100","31.12","30.12","1","3990.63","372913.75","31080.81","31.69","600.38","411.88","2.12","8","100","19.25","18.25","58.5","1","5046.17","373969.29","373969.29","32992.11","30.4","516.53","518.96","1414.45","1.13","8","100","14.12","37.75","7571.81","469020.88","108.38","5.17","68.24","1323.38","-962.3","165.92","0","0","0"
"Pilot_Copy 30-07-_Copy 12-08-24 13h41m02","8","0","Dynamic AOI","NA","creative feedbback","339909.27","Website 8","1081508.84","28.46","83.29","NA","NA","NA","8","100","100","99","3","9394.43","413126.25","90390.5","30.51","621.88","7358.62","5.25","8","100","54.25","53.25","145.75","3","9377.17","413108.99","413108.99","116873.22","33.53","753.16","483.51","1321.36","1.24","8","100","37.38","82.62","14464.94","514156.3","112.18","5.48","77.24","1489.61","-1149.28","151.88","0","0","0"
